Rk,Player,Pos,Tm,Salary,2019 PFF,2018 PFF,2017 PFF,2016 PFF
,Nsimba Webster,WR,LAR,495000.00,,,,
,A.J. Brown,WR,TEN,495000.00,84,,,
,Fred Brown,WR,DEN,495000.00,60,,,
,Marquise Brown,WR,BAL,495000.00,70.8,,,
,Steven Sims,WR,WAS,495000.00,64.4,,,
,Travis Fulgham,WR,DET,495000.00,49,,,
,Gunner Olszewski,WR,NWE,495000.00,51.5,,,
,Rico Gafford,WR,OAK,495000.00,62.2,,,
,Deon Cain,WR,2TM,495000.00,55.6,,,
,Deonte Harris,WR,NOR,495000.00,62.2,,,
,Parris Campbell,WR,IND,495000.00,54.7,,,
,Jaleel Scott,WR,BAL,495000.00,57.1,,,
,Cedrick Wilson,WR,DAL,495000.00,56.1,,,
,Gary Jennings Jr,WR,MIA,495000.00,,,,
,Darvin Kidsy,WR,WAS,495000.00,,67.5,,
,N'Keal Harry,WR,NWE,495000.00,66.6,,,
,Juwann Winfree,WR,DEN,495000.00,,,,
,Andy Isabella,WR,ARI,495000.00,64.2,,,
,Cam Sims,WR,WAS,495000.00,58.3,,,
,Braxton Berrios,WR,NYJ,495000.00,56.1,,,
,Kelvin Harmon,WR,WAS,495000.00,63.9,,,
,Codey McElroy,WR,TAM,495000.00,93,,,
,Diontae Spencer,WR,DEN,495000.00,52,,,
,KeeSean Johnson,WR,ARI,495000.00,53.5,,,
,Riley Ridley,WR,CHI,495000.00,63.8,,,
,Darrius Shepherd,WR,GNB,495000.00,44.5,,,
,Miles Boykin,WR,BAL,495000.00,60.9,,,
,Olamide Zaccheaus,WR,ATL,495000.00,71.5,,,
,Byron Pringle,WR,KAN,495000.00,63.4,,,
,C.J. Board,WR,JAX,495000.00,54.3,,,
,Andre Patton,WR,LAC,495000.00,45.7,,,
,Diontae Johnson,WR,PIT,495000.00,67.9,,,
,Jakobi Meyers,WR,NWE,495000.00,64.7,,,
,Chris Lacy,WR,DET,495000.00,50.2,53.6,,
,Cyril Grayson,WR,TAM,495000.00,58.1,,,
,John Ursua,WR,SEA,495000.00,71.5,,,
,Duke Williams,WR,BUF,495000.00,65.3,,,
,Tevin Jones,WR,PIT,495000.00,53.3,,,
,Deebo Samuel,WR,SFO,495000.00,74.5,,,
,Jester Weah,WR,WAS,495000.00,,,,
,D.K. Metcalf,WR,SEA,495000.00,69.7,,,
,Scott Miller,WR,TAM,495000.00,,,,
,Allen Lazard,WR,GNB,495000.00,72.3,62.4,,
,Darius Slayton,WR,NYG,495000.00,70.3,,,
,Rashard Davis,WR,TEN,495000.00,90.2,,,
,Krishawn Hogan,WR,NOR,495000.00,55.9,,,
,Preston Williams,WR,MIA,495000.00,67.7,,,
