,player,player_id,position,ï..season,Team,Cap.Number,Cash.Spent,snap_counts_offense,Year,experience,y1_pff,y1_touchdowns,y1_receptions,y1_yac,y1_salary,y1_snaps,y2_pff,y2_touchdowns,y2_receptions,y2_yac,y2_salary,y2_snaps,y3_pff,y3_touchdowns,y3_receptions,y3_yac,y3_salary,y3_snaps,y4_pff,y4_touchdowns,y4_receptions,y4_yac,y4_salary,y4_snaps,y5_pff,y5_touchdowns,y5_receptions,y5_yac,y5_salary,y5_snaps
1279,Amara Darboh,11861,WR,2017,Seahawks,641572,1171288,93,2017,1,56.5,0,8,15,1171288,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1364,Equanimeous St. Brown,47967,WR,2018,Packers,509602,598408,92,2018,1,64.3,0,21,116,598408,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1070,Kevin Norwood,8758,WR,2014,Seahawks,525027,840108,90,2014,1,67.3,0,9,42,840108,90,59.6,0,0,0,510000,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,Mike Williams,11762,WR,2017,Chargers,3590919,12968676,89,2017,1,52.6,0,11,15,12968676,89,81.8,10,43,117,1362730,207,74.1,2,49,200,2260460,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1152,Keith Mumphery,9608,WR,2015,Texans,476563,601252,89,2015,1,48.5,0,14,15,601252,89,51,0,10,25,525000,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
661,Clyde Gates,6263,WR,2011,Dolphins,488288,828152,86,2011,1,56.3,0,2,0,828152,86,71.2,0,16,18,NA,76,60.1,0,12,30,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1208,Charone Peake,10875,WR,2016,Jets,467095,518380,84,2016,1,59,0,19,73,518380,84,57.8,0,1,1,394235,16,50.6,0,2,3,630000,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
727,Niles Paul,6307,WR,NA,NA,NA,NA,83,2011,1,58.9,0,2,2,NA,83,61.1,1,8,67,NA,137,59.9,0,4,23,NA,105,64.8,1,39,267,NA,270,NA,NA,NA,NA,NA,NA
273,Golden Tate,5585,WR,2010,Seahawks,570000,1320000,80,2010,1,66,0,21,112,1320000,80,74.6,3,35,153,450000,219,81.2,7,45,276,1011500,312,81.9,5,64,506,630000,285,79.3,4,99,709,9500000,255
1296,Curtis Samuel,11795,WR,2017,Panthers,1173393,3298572,79,2017,1,56.9,0,15,54,3298572,79,71.5,5,39,116,758348,141,62.7,6,54,159,1051696,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200,Aaron Burbridge,10847,WR,2016,49ers,475089,550356,78,2016,1,55.5,0,7,42,550356,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
859,Rishard Matthews,7211,WR,2012,Dolphins,403403,443612,73,2012,1,60.1,0,11,31,443612,73,68.4,2,41,174,480000,144,64.9,2,12,47,570000,99,73.9,4,43,245,660000,180,81.4,9,65,218,5000000,308
803,DeVier Posey,7070,WR,2012,Texans,561023,1074092,68,2012,1,57.1,0,6,33,1074092,68,59.2,0,15,80,510000,71,58.8,0,1,3,630000,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1255,Rashard Higgins,10806,WR,2016,Browns,496096,634384,68,2016,1,61.5,0,6,32,634384,68,50.4,2,27,150,508235,161,68.1,4,39,152,630000,139,53.6,1,4,10,2025000,59,NA,NA,NA,NA,NA,NA
136,Damian Williams,5601,WR,2010,Titans,525812,1143250,66,2010,1,69.7,0,16,45,1143250,66,65.3,5,45,222,450000,232,63.7,0,30,83,540000,119,70,0,15,48,1323000,96,88.1,0,1,2,NA,NA
420,Mardy Gilyard,5623,WR,NA,NA,NA,NA,65,2010,1,59.5,0,6,14,NA,65,NA,NA,NA,NA,NA,NA,55.9,0,2,11,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
901,Brice Butler,7991,WR,2013,Raiders,421875,472500,65,2013,1,56.7,0,9,26,472500,65,70.1,2,21,83,495000,75,68,0,12,97,550588,85,61.1,3,16,19,675000,194,65.9,3,15,32,1100000,102
1251,Pharoh Cooper,10751,WR,2016,Rams,588667,1004668,65,2016,1,52.8,0,14,72,1004668,65,63,0,11,54,540000,118,57.1,0,0,0,74118,3,70.3,1,25,79,550588,67,NA,NA,NA,NA,NA,NA
742,Ryan Grant,8777,WR,2014,Redskins,473403,633612,64,2014,1,54.5,0,7,21,633612,64,62.7,2,23,94,510000,194,54.3,0,9,26,600000,136,69.1,4,45,240,690000,209,59.1,1,35,89,5000000,139
1026,Devin Street,8781,WR,2014,Cowboys,470493,621972,64,2014,1,52.3,0,2,5,621972,64,57.8,1,7,14,510000,133,46.7,0,1,2,105882,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
979,Stedman Bailey,7873,WR,2013,Rams,536850,932400,62,2013,1,70.9,0,17,45,932400,62,74,1,29,170,452069,111,58.8,1,12,71,428743,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1036,James Wright,8873,WR,2014,Bengals,432456,469824,62,2014,1,60.8,0,5,35,469824,62,NA,NA,NA,NA,NA,NA,65.2,0,13,38,600000,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1212,Chris Moore,10741,WR,2016,Ravens,599090,1046360,57,2016,1,50.3,0,7,17,1046360,57,59,3,18,38,540000,128,60,1,19,71,630000,246,53.4,0,3,11,720000,84,NA,NA,NA,NA,NA,NA
925,Josh Boyce,7884,WR,2013,Patriots,524250,882000,51,2013,1,60.8,0,9,78,882000,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
952,Markus Wheaton,7860,WR,2013,Steelers,552844,996376,48,2013,1,55.1,0,6,38,996376,48,68.9,2,53,154,515000,235,69.9,5,44,168,605000,195,54.1,1,4,8,1671000,20,49.9,0,3,3,6000000,62
1358,Damion Ratley,48182,WR,2018,Browns,528467,673868,48,2018,1,55.9,0,13,52,673868,48,62.9,1,12,50,570000,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,Mike Thomas,10840,WR,2016,Rams,479017,566068,44,2016,1,51.6,0,3,13,566068,44,59.9,0,5,22,412941,39,NA,NA,NA,NA,NA,NA,58.4,0,2,9,720000,19,NA,NA,NA,NA,NA,NA
686,Greg Salas,6264,WR,2011,Rams,487725,825900,42,2011,1,63.1,0,27,230,825900,42,NA,NA,NA,NA,NA,NA,64.6,0,8,80,359118,68,62.7,0,8,117,645000,81,65.7,0,3,13,87647,23
1305,Isaiah McKenzie,11927,WR,2017,Broncos,523964,700856,40,2017,1,46.2,0,4,12,700856,40,67,0,18,73,261176,56,68.8,1,27,211,645000,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1372,Justin Watson,66915,WR,2018,Buccaneers,555434,781736,40,2018,1,54.4,0,1,0,781736,40,63.9,2,15,15,570000,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
748,Ryan Whalen,6319,WR,2011,Bengals,406278,500114,36,2011,1,64.1,0,4,8,500114,36,72.7,0,7,13,465000,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
