player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
Jonathan Casillas,5422,LB,1,TB,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,1,0
Jermey Parnell,5426,T,11,DAL,20,0,4,16,2,0,0,0,0,66.5,24.9,67.5,0,0,0,0,1,0
Darrel Young,5438,FB,13,WAS,164,0,31,133,0,0,0,0,0,62.5,78.9,71.9,0,1,1,2,2,1
Antone Smith,5440,HB,6,ATL,7,0,5,2,0,0,0,0,0,68.5,61.8,58.9,0,0,1,1,0,0
Tom Crabtree,5458,TE,7,TB,168,0,35,133,0,0,0,0,0,59.4,64.4,60.8,1,0,2,3,1,0
Marcus Thigpen,5488,HB,11,MIA,3,0,0,3,0,0,0,0,0,61.6,,58.4,0,0,0,0,0,0
Tanner Purdum,5508,LS,1,NYJ,1,0,1,0,0,0,0,0,0,60.0,,,0,0,0,0,0,0
Chad Hall,5523,WR,8,KC,12,0,0,12,0,0,0,0,0,63.4,,60.0,0,0,0,0,0,0
Sam Bradford,5526,QB,7,SL,442,297,0,145,0,0,0,0,0,72.6,,60.0,0,0,2,2,0,0
Trent Williams,5529,T,16,WAS,1143,0,712,431,1164,0,0,0,0,91.8,88.3,88.9,8,6,21,35,6,2
Russell Okung,5531,T,8,SEA,426,0,241,185,441,0,0,0,0,66.2,59.2,69.9,2,3,9,14,7,1
C.J. Spiller,5534,HB,15,BUF,37,0,21,16,0,0,0,0,0,71.1,23.4,59.5,1,3,3,7,1,0
Anthony Davis,5536,T,16,SF,976,0,528,448,2,0,0,0,1003,71.5,74.8,69.0,5,4,24,33,6,0
Ryan Mathews,5537,HB,16,SD,41,0,20,21,0,0,0,0,0,70.3,59.9,57.1,1,0,2,3,1,0
Mike Iupati,5542,G,12,SF,694,0,371,323,0,715,0,0,0,70.6,60.5,72.5,3,3,19,25,3,0
Maurkice Pouncey,5543,C,1,PIT,8,0,4,4,0,0,8,0,0,59.4,76.3,57.5,0,0,0,0,0,0
Jermaine Gresham,5546,TE,14,CIN,499,0,127,372,6,0,0,0,4,60.7,67.7,61.1,0,0,8,8,11,1
Demaryius Thomas,5547,WR,16,DEN,409,0,0,409,0,0,0,0,0,81.5,,80.2,0,0,0,0,1,0
Dez Bryant,5549,WR,16,DAL,288,0,0,288,0,0,0,0,0,82.5,,55.5,0,0,0,0,4,0
Rodger Saffold,5558,T,12,SL,543,0,289,254,133,0,0,233,190,77.8,83.7,71.4,0,3,11,14,2,0
Dexter McCluster,5561,WR,15,KC,124,0,0,124,0,0,0,0,0,67.3,,61.0,0,0,0,0,1,0
Rob Gronkowski,5567,TE,7,NE,156,0,29,127,1,0,0,0,0,91.0,69.9,65.4,0,1,0,1,3,1
Zane Beadles,5570,G,16,DEN,1198,0,738,460,0,1223,0,0,0,76.8,67.7,78.5,1,9,32,42,4,1
Toby Gerhart,5576,HB,14,MIN,51,0,44,7,0,0,0,0,0,71.4,69.2,64.2,1,0,1,2,0,0
Jason Worilds,5577,ED,1,PIT,1,0,1,0,0,0,0,0,0,60.0,,,0,0,0,0,1,0
Ben Tate,5583,HB,14,HST,80,0,70,10,0,0,0,0,0,67.3,59.5,58.3,1,0,8,9,1,0
Golden Tate,5585,WR,16,SEA,285,0,0,285,0,0,0,0,0,81.9,,61.6,0,0,0,0,5,0
Vladimir Ducasse,5586,G,12,NYJ,318,0,181,137,0,302,0,13,2,55.6,51.4,68.7,2,4,11,17,6,1
Charles Brown,5589,T,15,NO,950,0,622,328,974,0,0,0,0,67.4,63.4,70.3,7,9,33,49,12,2
Jon Asamoah,5593,G,12,KC,652,0,400,252,0,0,0,674,0,73.5,80.7,66.5,1,0,12,13,3,2
Jared Veldheer,5594,T,5,OAK,322,0,209,113,335,0,0,0,0,64.7,74.4,57.1,1,0,13,14,6,1
Ed Dickson,5595,TE,16,BLT,383,0,58,325,0,0,0,0,1,63.1,74.4,54.8,0,2,1,3,2,0
John Jerry,5598,G,16,MIA,1015,0,682,333,0,0,0,1028,0,69.3,82.0,60.7,5,4,16,25,5,0
Damian Williams,5601,WR,10,TEN,96,0,1,95,0,0,0,0,0,70.0,70.2,73.9,0,0,0,0,0,0
Brandon LaFell,5602,WR,16,CAR,351,0,0,351,1,0,0,0,0,65.1,,72.7,0,0,0,0,3,0
Donald Butler,5603,LB,1,SD,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,2,0
Emmanuel Sanders,5606,WR,16,PIT,238,0,0,238,0,0,0,0,0,71.3,,75.2,0,0,0,0,3,1
Colt McCoy,5609,QB,4,SF,16,1,0,15,0,0,0,0,0,56.2,,60.0,0,0,0,0,0,0
Eric Decker,5611,WR,16,DEN,375,0,1,374,0,0,0,0,0,79.5,66.2,89.0,0,0,0,0,4,0
Andre Roberts,5612,WR,16,ARZ,178,0,3,175,0,0,0,0,0,66.2,78.1,57.6,0,0,0,0,1,0
Armanti Edwards,5613,WR,6,CLV,22,0,0,22,0,0,0,0,0,57.0,,59.1,0,0,0,0,0,0
Shawn Lauvao,5616,G,11,CLV,742,0,513,229,0,0,0,771,0,63.4,74.2,55.0,4,4,18,26,3,0
Jimmy Graham,5619,TE,16,NO,190,0,29,161,1,0,0,0,0,83.9,66.5,47.9,1,0,1,2,4,0
Brandon Ghee,5620,CB,1,CIN,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Mike Williams,5625,WR,6,TB,123,0,0,123,0,0,0,0,0,62.2,,67.2,0,0,0,0,5,1
Marcus Easley,5631,WR,9,BUF,24,0,0,24,0,0,0,0,0,47.1,,60.6,0,0,0,0,0,0
Jacoby Ford,5632,WR,14,OAK,114,0,0,114,0,0,0,0,0,55.8,,64.9,0,0,0,0,0,0
Darrell Stuckey,5634,S,2,SD,2,0,0,2,0,0,0,0,0,59.5,,58.9,0,0,0,0,0,0
Dennis Pitta,5638,TE,4,BLT,25,0,5,20,0,0,0,0,0,62.3,83.3,47.3,0,0,0,0,0,0
Joe Hawley,5641,C,14,ATL,538,0,358,180,0,0,509,1,0,72.7,71.7,70.2,0,3,10,13,1,0
Garrett Graham,5642,TE,13,HST,334,0,61,273,0,0,0,0,0,64.0,58.1,58.8,1,0,4,5,2,1
Clay Harbor,5648,TE,16,JAX,162,0,32,130,0,0,0,0,0,63.2,74.8,57.4,0,1,0,1,4,1
Jason Fox,5651,T,8,DET,203,0,117,86,2,0,0,0,203,63.4,76.5,49.3,1,1,2,4,0,0
Jacques McClendon,5652,G,3,JAX,186,0,126,60,0,187,1,0,0,64.9,88.4,53.7,0,0,3,3,1,0
Michael Hoomanawanui,5655,TE,13,NE,475,0,129,346,0,0,0,0,0,59.0,68.9,59.0,1,1,5,7,3,1
John Conner,5662,FB,11,NYG,187,0,21,166,0,0,0,0,0,83.5,87.0,83.3,0,0,0,0,1,0
Chris Scott,5674,G,10,CAR,499,0,278,221,0,29,0,477,0,55.5,78.8,46.6,1,3,6,10,1,0
Andrew Quarless,5677,TE,16,GB,367,0,66,301,0,0,0,0,0,67.5,66.5,69.6,1,1,1,3,2,0
David Reed,5679,WR,5,IND,8,0,0,8,0,0,0,0,0,49.9,,60.7,0,0,0,0,0,0
Riley Cooper,5682,WR,16,PHI,419,0,0,419,0,0,0,0,0,71.3,,63.6,0,0,0,0,1,0
Stevenson Sylvester,5689,LB,1,PIT,1,0,1,0,0,0,0,0,0,60.0,,,0,0,0,0,0,0
Marshall Newhouse,5692,T,9,GB,245,0,162,83,2,1,0,16,223,53.7,40.2,67.0,3,4,13,20,2,0
Anthony Dixon,5696,HB,12,SF,41,0,2,39,0,0,0,0,0,51.9,74.5,60.1,0,0,0,0,0,0
Sam Young,5702,T,3,JAX,9,0,6,3,1,0,0,8,0,27.0,0.0,55.9,1,0,2,3,1,0
Deji Karim,5703,HB,2,HST,5,0,5,0,0,0,0,0,0,77.1,66.5,,0,0,1,1,0,0
Nate Byham,5705,TE,4,TB,82,0,19,63,0,0,0,0,0,66.0,67.0,60.1,0,0,0,0,0,0
Shelley Smith,5710,G,10,SL,363,0,200,163,0,105,0,250,2,83.4,58.7,88.4,2,4,12,18,1,0
Jonathan Dwyer,5711,HB,15,PIT,26,0,20,6,0,0,0,0,0,81.3,82.4,67.4,0,2,0,2,0,0
Eugene Sims,5712,ED,1,SL,1,0,1,0,0,0,0,0,0,60.0,,,0,0,0,0,6,0
James Starks,5716,HB,13,GB,37,0,31,6,0,0,0,0,0,78.7,61.4,58.3,0,1,2,3,0,0
Antonio Brown,5718,WR,16,PIT,318,2,0,316,0,0,0,0,0,89.1,,65.0,1,0,0,1,4,1
Trindon Holliday,5720,WR,2,DEN,1,0,0,1,0,0,0,0,0,63.8,,60.0,0,0,0,0,0,0
Joe Webb III,5722,WR,16,MIN,77,0,2,75,0,0,0,0,0,50.5,70.8,66.1,0,0,0,0,2,0
Ted Larsen,5728,G,8,TB,363,0,243,120,0,223,131,15,0,59.4,72.1,57.8,1,2,12,15,5,0
Kyle Williams,5729,WR,9,KC,119,0,0,119,0,0,0,0,0,52.9,,56.8,0,0,0,0,0,0
Thomas Welch,5731,T,5,BUF,7,0,2,5,0,0,0,0,0,78.9,68.2,74.5,0,0,0,0,0,0
Dekoda Watson,5740,LB,1,TB,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,1,1
J'Marcus Webb,5741,T,5,MIN,106,0,56,50,0,0,0,0,89,75.6,67.8,74.9,1,1,2,4,0,0
